heuristic,algorithm,n,solved,real_avg,h_avg,diff_std,diff_max,over_rate,cost_avg,subopt_avg,exp_avg,gen_avg,time_avg,h_frac
"classifier(temperature=1.0,threshold=0.2)",gbfs,1000,1000,45.324,44.05,1.6418342241589494,4.0,0.073,53.948,1.1866610816490688,60.65,199.106,0.07320200000000002,0.8619791808966971
"classifier(temperature=1.0,threshold=0.2)",idastar(w=1.0),1000,1000,45.324,44.05,1.6418342241589494,4.0,0.073,46.3,1.021212996931366,492.062,1103.657,0.3864735999999998,0.9710559789853707
"classifier(temperature=1.0,threshold=0.2)",wastar(w=1.0),1000,1000,45.324,44.05,1.6418342241589494,4.0,0.073,45.984,1.014133732199996,248.928,805.404,0.28626230000000014,0.8580773647106164
"classifier(temperature=1.0,threshold=0.2)",wastar(w=10.0),1000,1000,45.324,44.05,1.6418342241589494,4.0,0.073,51.352,1.130379156882468,61.488,201.608,0.07412449999999998,0.8621211610196376
"classifier(temperature=1.0,threshold=0.2)",wastar(w=2.0),1000,1000,45.324,44.05,1.6418342241589494,4.0,0.073,49.856,1.097538494470484,64.11,209.761,0.07613999999999997,0.8621985815602852
"classifier(temperature=1.0,threshold=0.2)",wastar(w=5.0),1000,1000,45.324,44.05,1.6418342241589494,4.0,0.073,51.266,1.1284980313513275,61.482,201.581,0.07436259999999996,0.8621027236809906
"classifier(temperature=1.0,threshold=0.3)",gbfs,1000,1000,45.324,44.56,1.6404252482191912,6.0,0.13,54.086,1.1885420492024907,61.141,200.725,0.06908399999999984,0.8578947368421065
"classifier(temperature=1.0,threshold=0.3)",idastar(w=1.0),1000,1000,45.324,44.56,1.6404252482191912,6.0,0.13,46.46,1.0246787322007063,388.548,873.775,0.29959690000000005,0.9709172558194021
"classifier(temperature=1.0,threshold=0.3)",wastar(w=1.0),1000,1000,45.324,44.56,1.6404252482191912,6.0,0.13,46.128,1.0173418660342881,205.032,664.617,0.2251498000000001,0.8539594527732197
"classifier(temperature=1.0,threshold=0.3)",wastar(w=10.0),1000,1000,45.324,44.56,1.6404252482191912,6.0,0.13,51.334,1.1291439270581305,61.608,202.056,0.06963599999999999,0.8579068298006782
"classifier(temperature=1.0,threshold=0.3)",wastar(w=2.0),1000,1000,45.324,44.56,1.6404252482191912,6.0,0.13,49.92,1.0988725987418362,64.046,209.837,0.07236219999999989,0.8577696642722309
"classifier(temperature=1.0,threshold=0.3)",wastar(w=5.0),1000,1000,45.324,44.56,1.6404252482191912,6.0,0.13,51.276,1.1278711997854032,61.586,201.988,0.06959079999999997,0.8579481770578875
"classifier(temperature=1.0,threshold=0.4)",gbfs,1000,1000,45.324,44.966,1.658489248257759,6.0,0.187,53.818,1.1835315610949326,60.646,198.99,0.06770999999999999,0.8595200118150916
"classifier(temperature=1.0,threshold=0.4)",idastar(w=1.0),1000,1000,45.324,44.966,1.658489248257759,6.0,0.187,46.642,1.0287644171508303,317.723,716.657,0.25078749999999994,0.9716118227583127
"classifier(temperature=1.0,threshold=0.4)",wastar(w=1.0),1000,1000,45.324,44.966,1.658489248257759,6.0,0.187,46.202,1.0189793476224975,180.272,585.588,0.195909,0.8555676359942629
"classifier(temperature=1.0,threshold=0.4)",wastar(w=10.0),1000,1000,45.324,44.966,1.658489248257759,6.0,0.187,50.992,1.1224934706326082,60.828,199.578,0.06791069999999995,0.8596038621307107
"classifier(temperature=1.0,threshold=0.4)",wastar(w=2.0),1000,1000,45.324,44.966,1.658489248257759,6.0,0.187,49.696,1.0940822985381355,63.3,207.482,0.07068499999999991,0.8593251750725072
"classifier(temperature=1.0,threshold=0.4)",wastar(w=5.0),1000,1000,45.324,44.966,1.658489248257759,6.0,0.187,50.97,1.1218894036469622,60.866,199.681,0.06797300000000009,0.8595030379709582
"classifier(temperature=1.0,threshold=0.5)",gbfs,1000,1000,45.324,45.27,1.6528205637079347,6.0,0.242,53.844,1.1834102625932266,60.318,197.908,0.05930629999999997,0.8275748107705263
"classifier(temperature=1.0,threshold=0.5)",idastar(w=1.0),1000,1000,45.324,45.27,1.6528205637079347,6.0,0.242,46.85,1.0334832564760301,276.742,625.258,0.1944624999999999,0.9651742623899207
"classifier(temperature=1.0,threshold=0.5)",wastar(w=1.0),1000,1000,45.324,45.27,1.6528205637079347,6.0,0.242,46.326,1.0218478781287117,162.818,529.847,0.15667800000000007,0.8239210354995594
"classifier(temperature=1.0,threshold=0.5)",wastar(w=10.0),1000,1000,45.324,45.27,1.6528205637079347,6.0,0.242,50.946,1.12148706242364,60.395,197.954,0.059390599999999995,0.8277303142248101
"classifier(temperature=1.0,threshold=0.5)",wastar(w=2.0),1000,1000,45.324,45.27,1.6528205637079347,6.0,0.242,49.768,1.0958785902342523,63.26,207.193,0.06223250000000003,0.827503314184712
"classifier(temperature=1.0,threshold=0.5)",wastar(w=5.0),1000,1000,45.324,45.27,1.6528205637079347,6.0,0.242,50.916,1.1208352897112266,60.479,198.213,0.05949119999999997,0.827633330643861
"classifier(temperature=1.5,threshold=0.2)",gbfs,1000,1000,45.324,43.67,1.6610367374152335,4.0,0.049,53.834,1.184313386285148,60.796,199.344,0.05888559999999998,0.8259472604507727
"classifier(temperature=1.5,threshold=0.2)",idastar(w=1.0),1000,1000,45.324,43.67,1.6610367374152335,4.0,0.049,46.172,1.018329691408299,617.466,1384.417,0.3708105,0.9625981464926147
"classifier(temperature=1.5,threshold=0.2)",wastar(w=1.0),1000,1000,45.324,43.67,1.6610367374152335,4.0,0.049,45.852,1.0112607591964826,284.849,920.905,0.2718099000000001,0.8221941143424133
"classifier(temperature=1.5,threshold=0.2)",wastar(w=10.0),1000,1000,45.324,43.67,1.6610367374152335,4.0,0.049,50.96,1.1216137441026783,60.883,199.434,0.058911200000000004,0.8259108624506036
