heuristic,algorithm,n,solved,real_avg,h_avg,diff_std,diff_max,over_rate,cost_avg,subopt_avg,exp_avg,gen_avg,time_avg,h_frac
"classifier(temperature=1.0,threshold=0.5)",gbfs,20,20,27.2,27.0,1.105012502906165,2.0,0.1,28.1,1.0328937728937728,29.45,94.75,0.058524999999999994,0.9732592909013243
"classifier(temperature=1.0,threshold=0.5)",wastar(w=1.0),20,20,27.2,27.0,1.105012502906165,2.0,0.1,27.4,1.0083333333333333,50.2,161.85,0.10347500000000001,0.9768059917854554
"classifier(temperature=1.0,threshold=0.5)",wastar(w=2.0),20,20,27.2,27.0,1.105012502906165,2.0,0.1,27.9,1.0257509157509157,30.25,97.5,0.057479999999999996,0.9764265831593598
"classifier(temperature=2.0,threshold=0.1)",gbfs,20,20,27.2,25.9,1.3416407864998738,0.0,0,28.6,1.0493223443223443,30.9,99.6,0.06665499999999999,0.9737454054459531
"classifier(temperature=2.0,threshold=0.1)",wastar(w=1.0),20,20,27.2,25.9,1.3416407864998738,0.0,0,27.2,1.0,49.85,158.7,0.09819,0.9737244118545677
"classifier(temperature=2.0,threshold=0.1)",wastar(w=2.0),20,20,27.2,25.9,1.3416407864998738,0.0,0,27.6,1.014084249084249,31.4,101.05,0.06481,0.9740780743712389
pdb,gbfs,20,20,27.2,24.4,1.98944583661936,0.0,0,45.2,1.6511355311355311,93.35,298.85,0.008375,0.7814925373134327
pdb,wastar(w=1.0),20,20,27.2,24.4,1.98944583661936,0.0,0,27.2,1.0,103.35,333.1,0.00988,0.7834008097165992
pdb,wastar(w=2.0),20,20,27.2,24.4,1.98944583661936,0.0,0,30.5,1.1188186813186813,109.6,350.45,0.00993,0.7839879154078551
regressor,gbfs,20,20,27.2,26.55,1.8144159564878983,2.0,0.25,45.7,1.6713003663003663,112.25,353.1,0.186605,0.9714905817100292
regressor,wastar(w=1.0),20,20,27.2,26.55,1.8144159564878983,2.0,0.25,29.3,1.0758882783882784,293.15,925,0.4991,0.9704868763774795
regressor,wastar(w=2.0),20,20,27.2,26.55,1.8144159564878983,2.0,0.25,32.3,1.1836904761904763,118.4,373.15,0.18044,0.9707104854799379
