heuristic,algorithm,n,solved,real_avg,h_avg,diff_std,diff_max,over_rate,cost_avg,subopt_avg,exp_avg,gen_avg,time_avg,h_frac
"classifier(temperature=1.0,threshold=0.5)",gbfs,100,100,45.04,45.0,1.7051318856542292,4.0,0.23,52.9,1.1734671547072117,59.86,196.19,0.12798,0.9734489764025629
"classifier(temperature=1.0,threshold=0.5)",idastar(w=1.0),100,100,45.04,45.0,1.7051318856542292,4.0,0.23,46.48,1.0322284557281303,278.5,629.32,0.5845629999999999,0.9945976738178777
"classifier(temperature=1.0,threshold=0.5)",wastar(w=1.0),100,100,45.04,45.0,1.7051318856542292,4.0,0.23,45.88,1.01867069391114,171.41,558.49,0.48666699999999996,0.9757226193680689
"classifier(temperature=1.0,threshold=0.5)",wastar(w=2.0),100,100,45.04,45.0,1.7051318856542292,4.0,0.23,49.48,1.0957900271079648,64.08,209.58,0.159089,0.9753659901061669
"classifier(temperature=2.0,threshold=0.1)",gbfs,100,100,45.04,41.82,1.6792254106575388,0.0,0,54.56,1.2095186621269076,62.51,204.95,0.153998,0.9780581565994363
"classifier(temperature=2.0,threshold=0.1)",idastar(w=1.0),100,100,45.04,41.82,1.6792254106575388,0.0,0,45.64,1.013365366463382,2103.81,4685.95,2.367155,0.993373057531087
"classifier(temperature=2.0,threshold=0.1)",wastar(w=1.0),100,100,45.04,41.82,1.6792254106575388,0.0,0,45.26,1.0046252060644114,647.74,2082.49,1.437405,0.976042938489848
"classifier(temperature=2.0,threshold=0.1)",wastar(w=2.0),100,100,45.04,41.82,1.6792254106575388,0.0,0,49.3,1.0920918669517383,67.3,219.51,0.168242,0.9780019257973632
pdb,gbfs,100,100,45.04,37.98,2.549787077662396,-2.0,0,86.66,1.9210258645822609,202.92,650.18,0.017828999999999998,0.7769925402434237
pdb,idastar(w=1.0),100,100,45.04,37.98,2.549787077662396,-2.0,0,45.04,1.0,22758.36,48839.01,0.8065760000000001,0.9321675824720795
pdb,wastar(w=1.0),100,100,45.04,37.98,2.549787077662396,-2.0,0,45.04,1.0,6523.65,20355.23,0.587182,0.7750952856184283
pdb,wastar(w=2.0),100,100,45.04,37.98,2.549787077662396,-2.0,0,54.32,1.2065337546631292,403.18,1283.96,0.03447,0.772497824194952
regressor,gbfs,100,100,45.04,43.91,1.721257468459403,4.0,0.13,72.12,1.6095684396825507,137.79,438.27,0.315398,0.9733384485634025
regressor,idastar(w=1.0),100,100,45.04,43.91,1.721257468459403,4.0,0.13,47.04,1.0460133326119596,3991.65,8960.61,2.807423,0.9906088252464983
regressor,wastar(w=1.0),100,100,45.04,43.91,1.721257468459403,4.0,0.13,47,1.0446134930295863,1103.47,3538.63,2.114766,0.9705820880418922
regressor,wastar(w=2.0),100,100,45.04,43.91,1.721257468459403,4.0,0.13,55.1,1.2219264463294173,174.2,553.15,0.37859200000000004,0.9712302425830446
